megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
02:00 EST 2/13/2021	NA	8299	8174	11986	8127	NA	22721	22560	15284	-6095	NA	8276	7610	8332	56	NA	55790	53966	54774	-1015	NA	10277	9294	10346	69	NA	12770	12760	10804	-1966	NA	82920	79393	76813	-7546	NA	16591	16337	11792	-4799	NA	2793	2850	1855	-938	NA	95331	92773	106780	11458	NA	483683	466527	479186	7
03:00 EST 2/13/2021	NA	8013	7828	11318	7720	NA	21425	21182	13923	-5703	NA	8197	7497	8187	-10	NA	55132	51704	54113	-1018	NA	9815	9442	9907	92	NA	12568	12570	10372	-2196	NA	82344	78368	76540	-6903	NA	16360	16047	11756	-4604	NA	2668	2722	1871	-797	NA	95276	92499	106520	11254	NA	476521	458091	471408	144
04:00 EST 2/13/2021	NA	7891	7634	10659	7248	NA	20656	20437	13771	-5430	NA	8227	7480	8222	-5	NA	54878	52830	53786	-1093	NA	9580	9306	9617	37	NA	12544	12540	10219	-2325	NA	81750	77939	76293	-6749	NA	16217	15897	12236	-3981	NA	2531	2672	1834	-697	NA	95115	93166	105794	10689	NA	472239	456089	466678	-1208
05:00 EST 2/13/2021	NA	7747	7621	10313	6904	NA	19851	19643	13562	-5146	NA	8305	7674	8301	-4	NA	55030	52772	53937	-1093	NA	9453	9261	9576	123	NA	12716	12710	10095	-2621	NA	81415	77985	76012	-6724	NA	16278	15943	12107	-4171	NA	2472	2630	1818	-654	NA	95427	94671	106448	11030	NA	470929	456982	465487	-1586
06:00 EST 2/13/2021	NA	7713	7616	10078	6682	NA	19407	19116	13388	-5024	NA	8476	7904	8423	-53	NA	55687	53308	54594	-1093	NA	9562	9606	9686	124	NA	13126	13130	10581	-2545	NA	82125	78623	77104	-6237	NA	16607	16208	12350	-4257	NA	2444	2607	1800	-644	NA	95531	97283	106661	11139	NA	474388	462910	469225	-1362
07:00 EST 2/13/2021	NA	7802	7705	10219	6911	NA	19266	18970	13570	-4766	NA	8702	8201	8728	26	NA	56936	54625	55772	-1163	NA	9998	10196	10346	348	NA	13830	13840	11194	-2636	NA	82821	79757	77912	-6505	NA	17229	16759	13502	-3727	NA	2421	2627	1682	-739	NA	97505	100934	108366	10870	NA	483791	474492	478412	-1857
08:00 EST 2/13/2021	NA	7978	7890	10344	6941	NA	19503	19089	13743	-4801	NA	8941	8405	8734	-207	NA	58627	55275	57431	-1196	NA	10727	11326	11154	427	NA	14479	14500	11889	-2590	NA	85159	81837	78649	-8245	NA	17861	17383	14360	-3501	NA	2447	2685	1736	-711	NA	100575	104341	111766	11201	NA	498700	488855	492452	-2758
09:00 EST 2/13/2021	NA	8202	8222	10932	7348	NA	19862	19746	14267	-4873	NA	9212	8804	8820	-392	NA	60081	57183	58885	-1196	NA	12254	13010	12775	521	NA	15014	15030	12441	-2573	NA	86850	84452	79183	-9401	NA	18552	18108	14738	-3814	NA	2573	2799	1819	-754	NA	103509	106510	115185	11686	NA	514547	505710	508048	-3201
10:00 EST 2/13/2021	NA	8533	8624	13542	9517	NA	20727	20623	15004	-5410	NA	9412	8917	9074	-338	NA	61701	58775	60505	-1196	NA	13711	14286	14291	580	NA	15360	15420	12706	-2654	NA	89061	86729	81317	-9387	NA	19020	18638	14708	-4312	NA	2713	2921	1774	-939	NA	106167	107114	118645	12487	NA	530739	519518	525526	-2335
11:00 EST 2/13/2021	NA	8849	9063	14003	9510	NA	21050	20875	16663	-4414	NA	9405	8602	9443	38	NA	63195	61933	62000	-1195	NA	14843	15251	15452	609	NA	15333	15480	13108	-2225	NA	90267	87392	82037	-9844	NA	19147	18944	14462	-4685	NA	2863	3092	1825	-1038	NA	107326	106691	120398	13082	NA	539639	527894	534832	-2363
12:00 EST 2/13/2021	NA	9083	9394	14163	9263	NA	21013	20751	18528	-2549	NA	9333	8414	9525	192	NA	63694	62619	62525	-1169	NA	15577	15438	16330	753	NA	15176	15460	12955	-2221	NA	89998	86784	83021	-8448	NA	19123	19006	14476	-4647	NA	2940	3260	1841	-1099	NA	107324	105618	119800	12485	NA	541021	528302	536618	-2039
13:00 EST 2/13/2021	NA	9071	9461	14123	9323	NA	20779	20267	19081	-1667	NA	9187	8175	9524	337	NA	63135	63010	62049	-1085	NA	15948	15564	16606	658	NA	14976	15210	12489	-2487	NA	88991	85355	83129	-7165	NA	19059	18922	14268	-4791	NA	2975	3311	2007	-968	NA	106559	104045	118019	11469	NA	536962	523641	532595	-1613
14:00 EST 2/13/2021	NA	8793	9283	13572	8793	NA	20325	19413	18598	-1161	NA	9004	7826	9601	597	NA	61653	63043	60547	-1107	NA	16316	15785	17138	822	NA	14726	15010	12276	-2450	NA	87371	83685	82383	-6130	NA	19056	18736	14403	-4653	NA	2954	3259	2000	-954	NA	105381	102709	114593	9221	NA	529036	516433	524030	-1853
15:00 EST 2/13/2021	NA	8723	9058	13283	8567	NA	19750	18760	17903	-971	NA	8854	7614	9443	589	NA	59679	62408	58571	-1108	NA	16616	16009	17343	727	NA	14803	15000	12212	-2591	NA	86880	82220	82575	-5338	NA	19121	18605	14492	-4629	NA	2869	3171	1987	-882	NA	104665	102313	112681	8026	NA	522999	509682	518206	-1302
16:00 EST 2/13/2021	NA	8562	8821	13167	8443	NA	18907	18470	17793	-387	NA	8809	7476	9336	527	NA	58089	61280	56982	-1108	NA	16652	15883	17356	704	NA	15108	15070	12512	-2596	NA	85731	81220	81035	-5693	NA	19257	18606	14456	-4801	NA	2766	3069	2030	-736	NA	104452	103589	112928	8485	NA	518290	506181	513965	-1130
17:00 EST 2/13/2021	NA	8371	8594	13086	8365	NA	18296	18428	18514	379	NA	8938	7720	9309	371	NA	57012	61567	55904	-1108	NA	16571	15759	17200	629	NA	15640	15520	12725	-2915	NA	85336	81234	81485	-4878	NA	19617	18876	15183	-4434	NA	2673	2972	1993	-680	NA	105238	106766	113433	8204	NA	517940	510391	515252	-625
18:00 EST 2/13/2021	NA	8214	8447	13025	8215	NA	18578	18787	17042	-246	NA	9226	8198	9272	46	NA	57170	63060	55995	-1174	NA	16086	15389	16911	825	NA	16550	16440	13993	-2557	NA	86413	82716	82639	-4719	NA	20249	19441	15843	-4406	NA	2678	2916	1941	-737	NA	107478	109109	115507	8038	NA	524363	519620	520196	-765
19:00 EST 2/13/2021	NA	8172	8418	13170	8517	NA	19365	19604	16603	-1970	NA	9421	8573	9193	-228	NA	58384	61745	57190	-1193	NA	15847	15555	16769	922	NA	16654	16750	14196	-2458	NA	88573	85684	84867	-4918	NA	20463	19958	15960	-4503	NA	2666	2908	1768	-898	NA	109680	107458	118158	8488	NA	535596	526091	531693	-1147
20:00 EST 2/13/2021	NA	8296	8554	13360	9121	NA	20774	21087	16930	-3354	NA	9306	8576	9067	-239	NA	60139	61207	58942	-1197	NA	15388	14924	16057	669	NA	16154	16200	13354	-2800	NA	90912	87489	87483	-4992	NA	20074	19526	15849	-4225	NA	2747	2978	1771	-976	NA	108811	105262	117707	8906	NA	542383	528151	538328	-1513
21:00 EST 2/13/2021	NA	8654	8864	14159	9968	NA	23164	23302	18285	-4829	NA	9117	8519	8996	-121	NA	60330	61143	59134	-1196	NA	14558	14133	15390	832	NA	15532	15700	12559	-2973	NA	90420	86994	86681	-5234	NA	19598	18978	15311	-4287	NA	2906	3120	1757	-1149	NA	106958	102557	116159	9210	NA	541113	526334	537138	-1373
22:00 EST 2/13/2021	NA	8789	8980	14411	10058	NA	24837	24965	18211	-5324	NA	8819	8367	8771	-48	NA	59721	60248	58561	-1160	NA	13783	13230	14455	672	NA	14802	14980	11858	-2944	NA	89457	86045	85488	-5423	NA	18963	18376	14856	-4107	NA	2967	3186	1789	-1178	NA	104261	99289	113467	9215	NA	535257	518009	530215	-1141
23:00 EST 2/13/2021	NA	8587	8873	14333	10022	NA	24596	24496	17815	-5585	NA	8481	8097	8148	-333	NA	58746	59706	57639	-1107	NA	12959	12283	13372	413	NA	13941	14150	11114	-2827	NA	87732	84352	84571	-4324	NA	18162	17661	13958	-4204	NA	2920	3125	1693	-1227	NA	101186	95761	108931	7755	NA	521075	503763	515313	-1837
00:00 EST 2/14/2021	NA	8326	8691	14013	9578	NA	24103	23714	17546	-5540	NA	8131	7896	7885	-246	NA	57164	58134	56107	-1056	NA	12031	11281	12261	230	NA	13118	13330	10516	-2602	NA	85418	82006	84338	-2121	NA	17424	16889	13071	-4353	NA	2838	3058	1644	-1194	NA	98855	92799	104795	5949	NA	505883	487911	500436	-1911
01:00 EST 2/14/2021	NA	7964	8401	12743	8267	NA	23341	22895	15974	-5254	NA	7905	7765	7694	-211	NA	55867	55882	54773	-1093	NA	11105	10316	11258	153	NA	12798	12630	10370	-2428	NA	84101	80291	83531	-1689	NA	16734	16162	12642	-4092	NA	2707	2951	1612	-1095	NA	96980	91671	102766	5795	NA	492172	473693	486728	-1268
02:00 EST 2/14/2021	NA	7571	8051	10779	6559	NA	22230	21781	15382	-5765	NA	7819	7656	7545	-274	NA	54875	56179	53681	-1194	NA	10422	9887	10629	207	NA	12422	12210	10158	-2264	NA	83579	78912	82535	-2157	NA	16196	15657	12288	-3908	NA	2587	2808	1626	-961	NA	95921	90865	101857	5945	NA	482036	466911	476870	-2178
03:00 EST 2/14/2021	NA	7197	7724	9632	5682	NA	21044	20560	14524	-5143	NA	7750	7694	7431	-319	NA	54376	54689	53182	-1194	NA	9953	9585	10242	289	NA	12193	11970	9889	-2304	NA	83311	78271	82528	-1795	NA	15819	15301	11815	-4004	NA	2463	2688	1738	-725	NA	95417	90422	101689	6281	NA	474972	459859	469588	-2095
04:00 EST 2/14/2021	NA	7073	7529	10053	6039	NA	20149	19720	14298	-4771	NA	7797	7773	7429	-368	NA	54327	56145	53132	-1194	NA	9678	9394	9905	227	NA	12353	11860	9971	-2382	NA	83179	78050	82502	-1671	NA	15708	15082	11739	-3969	NA	2392	2596	1639	-753	NA	95268	90932	101367	6109	NA	471700	458092	466870	-1991
05:00 EST 2/14/2021	NA	7054	7254	10027	5882	NA	19502	19049	13750	-4715	NA	7852	7872	7431	-421	NA	54629	56032	53435	-1194	NA	9546	9360	9754	208	NA	12221	11900	10063	-2158	NA	82664	78136	82175	-1583	NA	15637	15051	11763	-3874	NA	2380	2555	1624	-756	NA	95602	92103	101412	5819	NA	470782	458536	466407	-1840
06:00 EST 2/14/2021	NA	7036	7165	10127	6025	NA	19070	18701	13336	-4725	NA	7982	8119	7669	-313	NA	55229	57194	54035	-1194	NA	9584	9487	9785	201	NA	12388	12100	9881	-2507	NA	82915	78544	82541	-1392	NA	15825	15157	11895	-3930	NA	2359	2534	1561	-798	NA	95770	94272	101769	6008	NA	473164	463711	468439	-2139
07:00 EST 2/14/2021	NA	7140	7264	10112	6024	NA	18862	18504	13146	-4739	NA	8208	8591	8207	-1	NA	56275	56630	55080	-1194	NA	9882	9779	10373	491	NA	12699	12540	10303	-2396	NA	84047	79233	83483	-1734	NA	16251	15415	12595	-3656	NA	2373	2568	1566	-807	NA	96930	97316	103084	6163	NA	480612	471403	475851	-2266
08:00 EST 2/14/2021	NA	7267	7411	10283	6165	NA	18993	18659	12986	-5121	NA	8515	8877	8301	-214	NA	57637	56283	56443	-1194	NA	10556	10890	11427	871	NA	13476	13150	10854	-2622	NA	85871	80811	84584	-2603	NA	16788	15831	13316	-3472	NA	2409	2621	1606	-803	NA	99241	100079	105991	6759	NA	493335	483428	487722	-3247
09:00 EST 2/14/2021	NA	7526	7682	10729	6523	NA	19450	19128	13265	-5773	NA	8821	9032	8209	-612	NA	59045	61088	57851	-1194	NA	12206	12725	13113	907	NA	14116	14050	11542	-2574	NA	87652	83112	85978	-3039	NA	17479	16628	14037	-3442	NA	2518	2718	1586	-932	NA	101589	101161	109205	7625	NA	509053	501405	503306	-3713
10:00 EST 2/14/2021	NA	7903	8082	11908	7481	NA	20125	19803	14168	-5708	NA	9072	8906	8176	-896	NA	60842	64387	59647	-1194	NA	13785	14106	14831	1046	NA	14607	14610	12149	-2458	NA	89528	85177	87954	-3036	NA	17990	17322	14357	-3633	NA	2674	2845	1513	-1161	NA	102576	100744	110677	8109	NA	523862	514763	518519	-3410
11:00 EST 2/14/2021	NA	8355	8540	12933	7856	NA	20168	19721	16737	-4523	NA	9021	8520	8348	-673	NA	62573	65501	61379	-1194	NA	15092	14998	16140	1048	NA	14879	15020	12536	-2343	NA	90355	85836	88390	-3465	NA	18353	17744	14253	-4100	NA	2856	3021	1569	-1287	NA	102951	100113	111748	8807	NA	532465	519989	528358	-3659
12:00 EST 2/14/2021	NA	8717	8864	12994	7282	NA	20097	19113	18129	-2391	NA	8996	8203	8715	-281	NA	63700	66395	62506	-1194	NA	16032	15544	17091	1059	NA	14901	15240	12725	-2176	NA	90449	85503	88706	-3255	NA	18393	17980	14357	-4036	NA	2979	3182	1516	-1463	NA	102337	99223	111360	9032	NA	535929	520263	532117	-3006
13:00 EST 2/14/2021	NA	8800	8845	12841	6937	NA	19206	18210	17538	-759	NA	8934	7841	8845	-89	NA	64431	67082	63237	-1194	NA	16744	15897	17866	1122	NA	14748	15240	12560	-2188	NA	89886	84798	87553	-3729	NA	18232	17978	14113	-4119	NA	3029	3203	1555	-1474	NA	101589	97964	111120	9540	NA	536287	517469	531358	-2879
14:00 EST 2/14/2021	NA	8708	8590	12778	6994	NA	18799	17330	17604	-844	NA	8814	7413	9225	411	NA	64589	67471	63395	-1194	NA	17102	16149	18087	985	NA	14539	14980	12129	-2410	NA	89013	83999	87075	-3147	NA	18006	17846	13884	-4122	NA	2977	3118	1600	-1377	NA	100392	96938	109695	9312	NA	531701	512648	527304	-2662
15:00 EST 2/14/2021	NA	8537	8341	12363	6993	NA	18460	16858	17714	-356	NA	8798	7343	9376	578	NA	64593	69088	63399	-1194	NA	17321	16386	18310	989	NA	14408	14850	12010	-2398	NA	88281	83220	87190	-2256	NA	17912	17761	13434	-4478	NA	2931	3023	1802	-1129	NA	100520	96718	109541	9031	NA	528821	510633	523639	-3141
16:00 EST 2/14/2021	NA	8384	8139	12163	6958	NA	18305	16846	17156	-243	NA	8777	7168	9359	582	NA	64746	70007	63552	-1194	NA	17397	16205	18338	941	NA	14512	14910	12096	-2416	NA	88456	82679	87605	-2195	NA	18003	17868	13691	-4312	NA	2871	2938	1889	-982	NA	101268	98753	110055	8796	NA	527973	511470	522302	-3244
17:00 EST 2/14/2021	NA	8251	7926	12012	6948	NA	18492	16837	16974	-846	NA	8878	7361	9496	618	NA	65106	70795	63912	-1194	NA	17177	16196	18062	885	NA	14995	15360	12684	-2311	NA	88793	83101	87227	-2823	NA	18411	18243	14273	-4138	NA	2826	2867	1760	-1066	NA	101525	103153	110525	9010	NA	529092	517696	524068	-2715
18:00 EST 2/14/2021	NA	8178	7756	11848	6890	NA	19235	17371	17466	-1513	NA	9135	8008	9522	387	NA	66011	72101	64817	-1194	NA	16693	15744	17513	820	NA	15986	16160	13538	-2448	NA	90058	85149	87429	-4254	NA	19228	18889	15103	-4125	NA	2805	2816	1685	-1120	NA	104241	106454	114259	10028	NA	537893	529125	533624	-2745
19:00 EST 2/14/2021	NA	8266	7707	12211	7168	NA	19672	18340	16503	-1785	NA	9301	8389	9277	-24	NA	67643	70872	66449	-1194	NA	16459	15853	17327	868	NA	16100	16250	13715	-2385	NA	93179	88775	89427	-5787	NA	19630	19458	15697	-3933	NA	2822	2807	1701	-1121	NA	107265	105610	118575	11319	NA	551570	538728	545705	-3622
20:00 EST 2/14/2021	NA	8453	7843	13823	8914	NA	20736	19990	16815	-3226	NA	9235	8461	9348	113	NA	69175	69094	67981	-1194	NA	15969	15239	16735	766	NA	15499	15680	13012	-2487	NA	95453	90971	90916	-6808	NA	19255	18951	15360	-3895	NA	2879	2851	1708	-1171	NA	106813	104039	118741	11937	NA	558597	541917	553308	-3705
21:00 EST 2/14/2021	NA	8713	8216	14447	9585	NA	23326	22582	17455	-5109	NA	9029	8444	9275	246	NA	69215	71491	68021	-1194	NA	15058	14462	15841	783	NA	14842	15030	12168	-2674	NA	95000	90587	90014	-7251	NA	18795	18393	14911	-3884	NA	2990	3013	1832	-1158	NA	104894	101225	117105	12220	NA	557631	542838	551701	-3866
22:00 EST 2/14/2021	NA	8741	8397	14606	9785	NA	24709	24530	17346	-5857	NA	8710	8311	8798	88	NA	68862	70522	67667	-1195	NA	14212	13435	14903	691	NA	14082	14250	11420	-2662	NA	93670	89247	88394	-7515	NA	18223	17785	14418	-3805	NA	3016	3111	1690	-1326	NA	102454	97544	114964	12519	NA	549587	533633	542465	-4160
23:00 EST 2/14/2021	NA	8568	8304	14501	9460	NA	24348	24281	17098	-6012	NA	8249	8010	8355	106	NA	67999	66375	66804	-1195	NA	13228	12350	13579	351	NA	13239	13350	10468	-2771	NA	91649	87010	85448	-7864	NA	17466	17055	13377	-4089	NA	2943	3076	1732	-1211	NA	99489	94179	111549	12069	NA	534530	514806	527531	-4142
00:00 EST 2/15/2021	NA	8357	8112	14115	9275	NA	23818	23576	16321	-5726	NA	7868	7624	8331	463	NA	66689	65166	65493	-1196	NA	12093	11143	12372	279	NA	12464	12580	10082	-2382	NA	89494	84263	85023	-5868	NA	16661	16287	12689	-3972	NA	2853	3004	1860	-993	NA	97432	91548	107286	9864	NA	518962	497669	512053	-3273
01:00 EST 2/15/2021	NA	7989	7800	13518	9193	NA	23122	22618	15374	-6148	NA	7604	7377	8348	744	NA	65766	62892	64571	-1196	NA	11057	10151	11179	122	NA	11914	11860	9726	-2188	NA	88341	84245	84741	-5232	NA	16013	15641	11808	-4205	NA	2748	2862	1891	-857	NA	95797	90386	105353	9566	NA	505590	484128	499295	-2929
02:00 EST 2/15/2021	NA	7544	7394	11911	8109	NA	21999	21321	14344	-6021	NA	7514	7273	8338	824	NA	65255	64579	64059	-1196	NA	10376	10006	10498	122	NA	11602	11660	9232	-2370	NA	88226	83145	82962	-6590	NA	15606	15254	11528	-4078	NA	2591	2692	1882	-709	NA	95118	89855	105997	10888	NA	496669	479526	489421	-3475
03:00 EST 2/15/2021	NA	7241	7040	10772	7243	NA	20741	20123	13572	-5504	NA	7510	7294	8319	809	NA	63395	64731	62198	-1197	NA	9929	9740	10101	172	NA	11460	11480	8882	-2578	NA	88016	82789	82904	-6408	NA	15389	15020	11233	-4156	NA	2479	2564	1921	-558	NA	94789	90350	105229	10450	NA	489017	475876	481701	-3523
04:00 EST 2/15/2021	NA	7059	6941	10541	6773	NA	19948	20147	13481	-5189	NA	7602	7432	8379	777	NA	54178	64015	52982	-1196	NA	9635	9603	9744	109	NA	11717	11550	9001	-2716	NA	87992	83016	83593	-5761	NA	15336	14926	11198	-4138	NA	2378	2483	1796	-582	NA	94741	92015	105548	10817	NA	477369	475586	470795	-3669
05:00 EST 2/15/2021	NA	7023	6835	10408	6536	NA	19426	19514	13200	-4860	NA	7793	7747	8369	576	NA	54173	64450	52977	-1196	NA	9702	9707	9839	137	NA	11864	11740	9458	-2406	NA	88559	84060	83742	-6300	NA	15486	15053	11371	-4115	NA	2323	2449	1790	-533	NA	95680	96106	106782	11110	NA	480168	481848	473595	-3831
06:00 EST 2/15/2021	NA	6996	6861	10210	6504	NA	19015	19252	13260	-4499	NA	8182	8390	8543	361	NA	54504	67069	53308	-1196	NA	10129	10199	10429	300	NA	12459	12400	9866	-2593	NA	89051	86769	84810	-5969	NA	16012	15526	11942	-4070	NA	2317	2435	1721	-596	NA	97043	102056	108841	11803	NA	487092	497937	480559	-4025
07:00 EST 2/15/2021	NA	7107	6980	10240	6321	NA	19188	19141	13713	-4476	NA	8796	9262	9176	380	NA	52185	64516	51089	-1096	NA	10832	11038	11209	377	NA	13455	13440	10882	-2573	NA	90911	91901	86568	-6042	NA	16937	16200	13291	-3646	NA	2335	2469	1672	-663	NA	102293	107266	114149	11860	NA	502732	516110	496286	-4262
08:00 EST 2/15/2021	NA	7358	7259	10875	6784	NA	19616	19568	14368	-4453	NA	9097	9692	9481	384	NA	51388	71408	50573	-815	NA	11684	12256	12270	586	NA	14330	14460	11606	-2724	NA	94030	98306	89447	-6630	NA	17783	16999	14605	-3178	NA	2390	2558	1611	-779	NA	106350	109895	117397	11051	NA	519779	545252	513767	-4280
09:00 EST 2/15/2021	NA	7758	7734	11844	7504	NA	20623	20623	15733	-4688	NA	9202	9805	9546	344	NA	51402	72183	50588	-814	NA	13127	13445	13816	689	NA	15008	15610	12570	-2438	NA	96291	100420	91913	-6465	NA	18547	17943	14807	-3740	NA	2539	2744	1558	-981	NA	108916	111212	120277	11367	NA	535567	560988	529784	-4512
10:00 EST 2/15/2021	NA	8309	8228	13384	8610	NA	22146	22086	16316	-5068	NA	9217	9743	9838	621	NA	49849	74356	49035	-814	NA	14635	14484	15481	846	NA	15520	15940	13128	-2392	NA	97545	100434	93298	-6454	NA	19116	18621	15232	-3884	NA	2752	2981	1532	-1220	NA	110377	111585	121787	11416	NA	546019	571602	539895	-4272
11:00 EST 2/15/2021	NA	8523	8613	13673	8929	NA	22938	22705	17159	-5466	NA	9111	9633	9875	764	NA	49597	75857	48782	-814	NA	15857	15317	16646	789	NA	15858	16080	13456	-2402	NA	98092	99920	92756	-7874	NA	19537	19038	15649	-3888	NA	2880	3181	1245	-1635	NA	110732	110984	123072	12346	NA	551060	575803	545888	-3939
12:00 EST 2/15/2021	NA	8604	8803	13703	8791	NA	23204	22912	18550	-4504	NA	8873	9548	9719	846	NA	48747	76783	47933	-815	NA	16870	15755	17698	828	NA	16040	16180	13595	-2445	NA	97909	99214	91172	-9140	NA	19677	19270	16012	-3665	NA	2940	3273	1193	-1747	NA	110506	110402	123575	13075	NA	551762	576562	546911	-3675
13:00 EST 2/15/2021	NA	8573	8740	13915	9073	NA	23536	22576	19098	-4252	NA	8664	9247	9666	1002	NA	47698	71092	46883	-815	NA	17615	16114	18339	724	NA	16030	16150	13476	-2554	NA	97403	98287	90944	-8843	NA	19659	19191	15654	-4005	NA	2971	3290	1510	-1461	NA	109893	109482	124624	14739	NA	549489	567176	545488	-2839
14:00 EST 2/15/2021	NA	8365	8489	13573	8688	NA	23193	22270	19482	-3259	NA	8499	8930	9511	1012	NA	46247	71972	45550	-696	NA	18157	16255	18850	693	NA	16022	16030	13316	-2706	NA	96733	97373	88671	-10034	NA	19630	19008	15502	-4128	NA	2956	3226	1552	-1404	NA	109206	108340	124184	14985	NA	544233	563228	540133	-2541
15:00 EST 2/15/2021	NA	8201	8265	13160	8414	NA	23085	22108	20031	-2681	NA	8322	8770	9539	1217	NA	45356	68364	44808	-547	NA	18548	16567	19139	591	NA	15952	15890	13244	-2708	NA	95975	96364	88455	-9448	NA	19611	18999	15451	-4160	NA	2908	3151	1637	-1271	NA	108677	107764	124441	15772	NA	539777	553962	535713	-18309
16:00 EST 2/15/2021	NA	8139	8027	12925	8289	NA	22601	21934	19048	-2354	NA	8307	8681	9600	1293	NA	44963	72062	44207	-755	NA	18663	16527	19160	497	NA	15997	15980	13236	-2761	NA	95626	95375	88467	-9018	NA	19645	18968	15313	-4332	NA	2877	3067	1705	-1172	NA	108464	108854	123643	15186	NA	537556	555447	531835	-18293
17:00 EST 2/15/2021	NA	8026	7809	12883	8411	NA	22135	21853	18700	-2688	NA	8416	8790	9523	1107	NA	45055	68281	44290	-764	NA	18435	16470	19041	606	NA	16444	16100	13863	-2581	NA	95336	95231	87748	-9399	NA	19917	19202	15544	-4373	NA	2819	2977	1531	-1288	NA	109678	112000	124288	14614	NA	539738	554352	534643	-3014
18:00 EST 2/15/2021	NA	7922	7661	12751	8535	NA	22276	22030	18141	-2978	NA	8704	9157	9650	946	NA	45365	69139	44601	-764	NA	17980	16171	18578	598	NA	17240	16900	14390	-2850	NA	95564	96673	88356	-9360	NA	20557	19713	16188	-4369	NA	2788	2927	1462	-1326	NA	112513	114370	127868	15360	NA	543571	562525	538240	-18472
19:00 EST 2/15/2021	NA	7958	7610	12935	8747	NA	22394	22665	17838	-3785	NA	8873	9469	9741	868	NA	45451	73309	44686	-765	NA	17844	16451	18387	543	NA	17157	17100	14206	-2951	NA	97393	100127	89554	-9984	NA	20652	19990	17085	-3567	NA	2789	2900	1391	-1398	NA	114120	112495	128363	14248	NA	551381	574961	546135	-3360
20:00 EST 2/15/2021	NA	8132	7753	13218	9140	NA	23464	23539	16773	-4838	NA	8733	9348	9848	1115	NA	45106	72780	44341	-765	NA	17524	15846	17906	382	NA	16477	16240	13603	-2874	NA	98962	102580	92678	-8462	NA	20189	19451	16498	-3691	NA	2836	2961	1444	-1392	NA	112480	109566	125889	13413	NA	555060	576714	547227	-2566
21:00 EST 2/15/2021	NA	8459	8142	14485	10207	NA	25239	25221	18031	-6876	NA	8409	9133	9461	1052	NA	44264	73149	43499	-765	NA	16476	14923	16834	358	NA	15664	15490	13096	-2568	NA	97588	102100	91823	-7762	NA	19564	18764	15831	-3733	NA	2969	3121	1413	-1556	NA	109642	105457	122116	12478	NA	548942	572988	542573	-4332
22:00 EST 2/15/2021	NA	8571	8354	14787	10472	NA	26706	26925	18156	-7658	NA	7951	8830	8727	776	NA	44454	69814	43690	-765	NA	15416	13819	15749	333	NA	14739	14540	12133	-2606	NA	95733	100553	90629	-7101	NA	18753	17994	15056	-3697	NA	3039	3237	1475	-1564	NA	105922	100621	117552	11635	NA	538492	559559	531793	-4001
23:00 EST 2/15/2021	NA	8367	8243	14658	10487	NA	26274	26359	17178	-7683	NA	7380	8429	8038	658	NA	45021	71515	44256	-765	NA	14318	12692	14638	320	NA	13683	13530	10937	-2746	NA	93724	97827	88073	-7495	NA	17750	17066	14267	-3483	NA	2987	3170	1279	-1708	NA	102269	96044	114126	11862	NA	522881	542949	515954	-3504
00:00 EST 2/16/2021	NA	8086	8012	14057	10057	NA	25460	25369	16805	-7784	NA	6837	7979	7864	1027	NA	44224	69706	43460	-765	NA	13039	11555	13078	39	NA	12802	12610	10143	-2659	NA	91896	94355	86747	-6859	NA	16882	16185	13080	-3802	NA	2857	3073	1141	-1716	NA	99073	92617	110253	11183	NA	505397	523004	498979	-3521
01:00 EST 2/16/2021	NA	7661	7608	13283	9415	NA	24447	24258	16341	-7129	NA	6400	7628	7992	1592	NA	43776	69759	43011	-765	NA	11915	10645	11940	25	NA	12196	12180	9702	-2494	NA	90446	93178	84513	-7805	NA	16188	15384	11551	-4637	NA	2723	2900	1051	-1672	NA	96108	90480	108031	11931	NA	490309	509287	483359	-4415
02:00 EST 2/16/2021	NA	7138	7151	12007	8407	NA	23040	22754	15482	-6432	NA	6063	7542	7655	1592	NA	44151	68946	43338	-813	NA	11150	10325	11196	46	NA	12104	11810	9561	-2543	NA	89404	91479	82051	-9101	NA	15755	14933	11135	-4620	NA	2545	2703	1119	-1426	NA	94044	89211	107533	13496	NA	479891	500790	473025	-4333
03:00 EST 2/16/2021	NA	6765	6782	10623	7324	NA	21648	21297	14652	-5757	NA	5845	7535	7478	1633	NA	44666	64179	43851	-814	NA	10757	10512	10810	53	NA	11930	11640	9413	-2517	NA	88609	90776	81874	-8504	NA	15488	14681	11089	-4399	NA	2393	2550	994	-1399	NA	92711	89121	106005	13302	NA	473145	491160	466321	-4291
